OCC_CODE,OCC_TITLE,OCC_GROUP,TOT_EMP,H_MEAN,A_MEAN,H_PCT10,H_PCT25,H_MEDIAN,H_PCT75,H_PCT90,A_PCT10,A_PCT25,A_MEDIAN,A_PCT75,A_PCT90,NUM_PAST,NUM_FUTURE,PCT_GROWTH,ENTRY_ED,WORK_EXP,CAT_SMALL,CAT_BIG
19-2012,Physicists,detailed,"17,340",56.27,"117,040",26.52,38.68,52.94,68.69,87.42,"55,150","80,460","110,110","142,880","181,840",20.6,22.7,10.4,Doctoral or professional degree,None,Physical Scientists,Science
19-2021,Atmospheric and Space Scientists,detailed,"10,800",42.38,"88,140",23.71,30.15,41.84,51.77,62.38,"49,320","62,710","87,030","107,680","129,750",11.1,12.2,10,Bachelor's degree,None,Physical Scientists,Science
19-2031,Chemists,detailed,"87,560",37.37,"77,740",19.88,25.41,34.79,46.68,59.05,"41,350","52,850","72,350","97,100","122,830",87.9,92.9,5.6,Bachelor's degree,None,Physical Scientists,Science
19-2032,Materials Scientists,detailed,"7,400",43.83,"91,160",22.45,31.13,42.63,54.51,66.62,"46,700","64,750","88,660","113,380","138,570",8.3,8.8,5.2,Bachelor's degree,None,Physical Scientists,Science
19-2041,"Environmental Scientists and Specialists, Including Health",detailed,"87,380",34.02,"70,770",18.74,23.45,31.29,41.77,54.32,"38,980","48,780","65,090","86,880","112,990",90,103.2,14.6,Bachelor's degree,None,Physical Scientists,Science
19-2042,"Geoscientists, Except Hydrologists and Geographers",detailed,"34,690",52.12,"108,420",23.51,30.58,44.19,64.61,#,"48,890","63,620","91,920","134,390",#,38.2,44.2,15.8,Bachelor's degree,None,Physical Scientists,Science
19-2043,Hydrologists,detailed,"6,540",38.11,"79,260",23.58,29.43,36.4,45.34,54.36,"49,040","61,220","75,710","94,300","113,070",7.4,8.1,10.4,Master's degree,None,Physical Scientists,Science
19-2099,"Physical Scientists, All Other",detailed,"23,290",45.65,"94,950",20.97,29.55,44.82,58.73,72.5,"43,620","61,460","93,230","122,160","150,810",31.2,33.1,5.9,Bachelor's degree,None,Physical Scientists,Science
19-3011,Economists,detailed,"17,230",48.78,"101,450",24.01,32.39,44.75,60.69,76,"49,940","67,380","93,070","126,230","158,090",16.9,19.2,13.9,Master's degree,None,Social Scientists and Related Workers,Science
19-3022,Survey Researchers,detailed,"17,370",25.58,"53,210",9.11,13.46,22.94,34.79,44.54,"18,950","27,990","47,720","72,370","92,640",18,21.2,17.6,Master's degree,None,Social Scientists and Related Workers,Science
19-3031,"Clinical, Counseling, and School Psychologists",detailed,"104,480",34.96,"72,710",18.76,24.38,32.58,42.62,54.03,"39,020","50,700","67,760","88,650","112,380",145.1,161.5,11.3,Doctoral or professional degree,None,Social Scientists and Related Workers,Science
